chut,hymenofor,jedla,jmeno,klobouk_barva,klobouk_povrch,klobouk_tvar,konzistence,latin,pochva,prsten,tren_barva,tren_povrch,tren_tvar,vune,vyskyt_doba,vyskyt_misto
"['pálivá, sladká']",['lupeny'],['jedlá'],Ryzec syrovinka ,"['hnědá, červená, oranžová']",['hladký'],"['plochý, nálevkovitý, vmáčklý']",['tvrdá'],(Lactarius volemus),['nemá'],['nemá'],"['hnědá, červená, oranžová']",['hladký'],['válcovitý'],"['příjemná, rybí']","['červen, červenec, srpen, září, říjen']","['jehličnatý les, listnatý les, smíšený les']"
"['nevýrazná, kyselá']",['rourky'],['jedlá'],Sírovec žlutooranžový ,"['žlutá, oranžová']",['hladký'],['-'],['-'],(Laetiporus sulphureus),['nemá'],['nemá'],['-'],['-'],['-'],"['příjemná, houbová']","['duben, květen, červen, červenec, srpen, září']","['listnatý les, smíšený les, parky, sady, zahrady']"
"['příjemná, nevýrazná']",['lupeny'],['jedlá'],Sluka svraskalá ,"['bílá, šedá, fialová']","['lysý, se zbytky plachetky (vločkatý)']","['plochý, vejčitý']",['křehká'],(Rozites caperata),['nemá'],['má'],['bílá'],['vláknitý'],['válcovitý'],"['příjemná, nevýrazná']","['červenec, srpen, září, říjen']","['jehličnatý les, smíšený les']"
['nevýrazná'],['lupeny'],['jedlá'],Slizák mazlavý ,"['hnědá, šedá']","['hladký, slizký']","['plochý, nálevkovitý, klenutý']",['měkká'],(Gomphidius glutinosus),['nemá'],['má'],['bílá'],['hladký'],['válcovitý'],['nevýrazná'],"['červenec, srpen, září, říjen']",['jehličnatý les']
"['příjemná, nevýrazná']",['lupeny'],['jedlá'],Slizák lepkavý ,"['hnědá, žlutá, oranžová']","['hladký, slizký, lysý']","['plochý, kuželovitý, vmáčklý, s\xa0hrbolkem']",['tvrdá'],(Chroogomphus rutilus),['nemá'],['má'],"['hnědá, žlutá']",['vláknitý'],"['válcovitý, dolů ztenčující']","['příjemná, nevýrazná']","['červenec, srpen, září, říjen']",['jehličnatý les']
['nevýrazná'],['jiné'],['jedlá'],Smrž kuželovitý ,['hnědá'],['jamkatý'],"['vejčitý, kuželovitý']",['křehká'],(Morchella conica),['nemá'],['nemá'],"['bílá, okrová']",['hladký'],['válcovitý'],"['houbová, nepříjemná']","['březen, duben, květen']","['jehličnatý les, listnatý les, smíšený les, louky, pastviny, parky, sady, zahrady, křoviny, stráně, mýtiny, paseky, jiné']"
['kořenitá'],['lupeny'],['jedlá'],Strmělka anýzka ,"['zelená, šedá']",['lysý'],"['plochý, nálevkovitý, klenutý']",['pružná'],(Clitocybe odora),['nemá'],['nemá'],"['zelená, bílá']",['vláknitý'],['válcovitý'],['anýzová'],"['červen, červenec, srpen, září, říjen, listopad']","['jehličnatý les, listnatý les, smíšený les']"
"['příjemná, nevýrazná']",['jiné'],['jedlá'],Smrž obecný ,"['hnědá, žlutá, okrová']","['hrbolkatý, jamkatý']",['vejčitý'],['křehká'],(Morchella esculentaa),['nemá'],['nemá'],['bílá'],['hladký'],['nahoru ztenčující'],"['příjemná, nevýrazná']","['březen, duben, květen']","['listnatý les, louky, pastviny, parky, sady, zahrady, stráně, mýtiny, paseky, jiné']"
"['kořenitá, pálivá']",['lupeny'],['jedlá'],Strmělka mlženka ,"['bílá, šedá']",['hladký'],"['plochý, klenutý']",['pružná'],(Clitocybe nebularis),['nemá'],['nemá'],"['bílá, šedá']",['vláknitý'],"['válcovitý, nahoru ztenčující']",['aromatická'],"['srpen, září, říjen, listopad, prosinec']","['jehličnatý les, listnatý les, smíšený les, louky, parky, mýtiny']"
['nevýrazná'],['-'],['jedlá'],Stroček trubkovitý ,['šedá'],['šupinkatý'],['nálevkovitý'],['dutá'],(Craterellus Cornucopioides),['nemá'],['nemá'],['šedá'],['hladký'],['dolů ztenčující'],"['příjemná, houbová, kořenitá']","['srpen, září, říjen, listopad']","['listnatý les, smíšený les']"
